query_number,query,intent_number,intent_text,cliff_threshold,retention_threshold,cutoff_rank,reason,cliff_percentage,score_retention,universe_size,tool_reduction
1,Send an email to Tom,1,Send an email to Tom,6,75,11,cliff,6.043956043956044,79.12087912087912,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,80,10,retention,,79.12087912087912,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,6,85,7,retention,,84.61538461538461,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,6,90,5,retention,,87.91208791208791,122,0.9590163934426229
1,Send an email to Tom,1,Send an email to Tom,7,50,113,retention,,49.72527472527473,122,0.07377049180327866
1,Send an email to Tom,1,Send an email to Tom,7,60,47,retention,,59.61538461538461,122,0.6147540983606558
1,Send an email to Tom,1,Send an email to Tom,7,70,15,retention,,69.5054945054945,122,0.8770491803278688
1,Send an email to Tom,1,Send an email to Tom,7,75,11,retention,,73.07692307692307,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,7,80,10,retention,,79.12087912087912,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,7,85,7,retention,,84.61538461538461,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,7,90,5,retention,,87.91208791208791,122,0.9590163934426229
1,Send an email to Tom,1,Send an email to Tom,8,50,113,retention,,49.72527472527473,122,0.07377049180327866
1,Send an email to Tom,1,Send an email to Tom,8,60,47,retention,,59.61538461538461,122,0.6147540983606558
1,Send an email to Tom,1,Send an email to Tom,8,70,15,retention,,69.5054945054945,122,0.8770491803278688
1,Send an email to Tom,1,Send an email to Tom,8,75,11,retention,,73.07692307692307,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,8,80,10,retention,,79.12087912087912,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,8,85,7,retention,,84.61538461538461,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,8,90,5,retention,,87.91208791208791,122,0.9590163934426229
1,Send an email to Tom,1,Send an email to Tom,10,50,113,retention,,49.72527472527473,122,0.07377049180327866
1,Send an email to Tom,1,Send an email to Tom,10,60,47,retention,,59.61538461538461,122,0.6147540983606558
1,Send an email to Tom,1,Send an email to Tom,10,70,15,retention,,69.5054945054945,122,0.8770491803278688
1,Send an email to Tom,1,Send an email to Tom,10,75,11,retention,,73.07692307692307,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,10,80,10,retention,,79.12087912087912,122,0.9180327868852459
1,Send an email to Tom,1,Send an email to Tom,10,85,7,retention,,84.61538461538461,122,0.9426229508196722
1,Send an email to Tom,1,Send an email to Tom,10,90,5,retention,,87.91208791208791,122,0.9590163934426229
2,Reply to Tom's email,1,Reply to Tom 's email,3,50,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,3,60,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,3,70,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,3,75,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,3,80,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,3,85,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,3,90,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,50,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,60,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,70,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,75,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,80,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,85,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,90,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,50,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,60,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,70,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,75,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,80,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,85,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,90,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,50,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,60,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,70,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,75,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,80,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,85,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,90,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,50,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,60,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,70,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,75,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,80,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,85,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,90,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,50,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,60,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,70,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,75,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,80,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,85,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,90,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,50,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,60,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,70,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,75,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,80,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,85,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,90,2,cliff,10.81081081081081,97.2972972972973,122,0.9836065573770492
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,3,50,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,3,60,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,3,70,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,3,75,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,3,80,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,3,85,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,3,90,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,4,50,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,4,60,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,4,70,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,4,75,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,4,80,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,4,85,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,4,90,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,5,50,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,5,60,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,5,70,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,5,75,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,5,80,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,5,85,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,5,90,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,6,50,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,6,60,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,6,70,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,6,75,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,6,80,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,6,85,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,6,90,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,7,50,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,7,60,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,7,70,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,7,75,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,7,80,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,7,85,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,7,90,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,8,50,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,8,60,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,8,70,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,8,75,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,8,80,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,8,85,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,8,90,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,10,50,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,10,60,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,10,70,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,10,75,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,10,80,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,10,85,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,10,90,1,cliff,11.258278145695364,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,3,50,1,cliff,3.664921465968586,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,3,60,1,cliff,3.664921465968586,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,3,70,1,cliff,3.664921465968586,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,3,75,1,cliff,3.664921465968586,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,3,80,1,cliff,3.664921465968586,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,3,85,1,cliff,3.664921465968586,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,3,90,1,cliff,3.664921465968586,100.0,122,0.9918032786885246
4,Create a Word document,1,Create a Word document,4,50,19,cliff,4.450261780104712,71.20418848167539,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,4,60,19,cliff,4.450261780104712,71.20418848167539,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,4,70,19,cliff,4.450261780104712,71.20418848167539,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,4,75,17,retention,,74.86910994764398,122,0.860655737704918
4,Create a Word document,1,Create a Word document,4,80,15,retention,,76.96335078534031,122,0.8770491803278688
4,Create a Word document,1,Create a Word document,4,85,12,retention,,83.7696335078534,122,0.9016393442622951
4,Create a Word document,1,Create a Word document,4,90,6,retention,,89.52879581151832,122,0.9508196721311475
4,Create a Word document,1,Create a Word document,5,50,62,retention,,49.73821989528796,122,0.4918032786885246
4,Create a Word document,1,Create a Word document,5,60,26,retention,,59.947643979057595,122,0.7868852459016393
4,Create a Word document,1,Create a Word document,5,70,19,retention,,66.75392670157068,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,5,75,17,retention,,74.86910994764398,122,0.860655737704918
4,Create a Word document,1,Create a Word document,5,80,15,retention,,76.96335078534031,122,0.8770491803278688
4,Create a Word document,1,Create a Word document,5,85,12,retention,,83.7696335078534,122,0.9016393442622951
4,Create a Word document,1,Create a Word document,5,90,6,retention,,89.52879581151832,122,0.9508196721311475
4,Create a Word document,1,Create a Word document,6,50,62,retention,,49.73821989528796,122,0.4918032786885246
4,Create a Word document,1,Create a Word document,6,60,26,retention,,59.947643979057595,122,0.7868852459016393
4,Create a Word document,1,Create a Word document,6,70,19,retention,,66.75392670157068,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,6,75,17,retention,,74.86910994764398,122,0.860655737704918
4,Create a Word document,1,Create a Word document,6,80,15,retention,,76.96335078534031,122,0.8770491803278688
4,Create a Word document,1,Create a Word document,6,85,12,retention,,83.7696335078534,122,0.9016393442622951
4,Create a Word document,1,Create a Word document,6,90,6,retention,,89.52879581151832,122,0.9508196721311475
4,Create a Word document,1,Create a Word document,7,50,62,retention,,49.73821989528796,122,0.4918032786885246
4,Create a Word document,1,Create a Word document,7,60,26,retention,,59.947643979057595,122,0.7868852459016393
4,Create a Word document,1,Create a Word document,7,70,19,retention,,66.75392670157068,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,7,75,17,retention,,74.86910994764398,122,0.860655737704918
4,Create a Word document,1,Create a Word document,7,80,15,retention,,76.96335078534031,122,0.8770491803278688
4,Create a Word document,1,Create a Word document,7,85,12,retention,,83.7696335078534,122,0.9016393442622951
4,Create a Word document,1,Create a Word document,7,90,6,retention,,89.52879581151832,122,0.9508196721311475
4,Create a Word document,1,Create a Word document,8,50,62,retention,,49.73821989528796,122,0.4918032786885246
4,Create a Word document,1,Create a Word document,8,60,26,retention,,59.947643979057595,122,0.7868852459016393
4,Create a Word document,1,Create a Word document,8,70,19,retention,,66.75392670157068,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,8,75,17,retention,,74.86910994764398,122,0.860655737704918
4,Create a Word document,1,Create a Word document,8,80,15,retention,,76.96335078534031,122,0.8770491803278688
4,Create a Word document,1,Create a Word document,8,85,12,retention,,83.7696335078534,122,0.9016393442622951
4,Create a Word document,1,Create a Word document,8,90,6,retention,,89.52879581151832,122,0.9508196721311475
4,Create a Word document,1,Create a Word document,10,50,62,retention,,49.73821989528796,122,0.4918032786885246
4,Create a Word document,1,Create a Word document,10,60,26,retention,,59.947643979057595,122,0.7868852459016393
4,Create a Word document,1,Create a Word document,10,70,19,retention,,66.75392670157068,122,0.8442622950819672
4,Create a Word document,1,Create a Word document,10,75,17,retention,,74.86910994764398,122,0.860655737704918
4,Create a Word document,1,Create a Word document,10,80,15,retention,,76.96335078534031,122,0.8770491803278688
4,Create a Word document,1,Create a Word document,10,85,12,retention,,83.7696335078534,122,0.9016393442622951
4,Create a Word document,1,Create a Word document,10,90,6,retention,,89.52879581151832,122,0.9508196721311475
5,Get the current sprint work items,1,Get the current sprint work items,3,50,1,cliff,3.1746031746031744,100.0,122,0.9918032786885246
5,Get the current sprint work items,1,Get the current sprint work items,3,60,1,cliff,3.1746031746031744,100.0,122,0.9918032786885246
5,Get the current sprint work items,1,Get the current sprint work items,3,70,1,cliff,3.1746031746031744,100.0,122,0.9918032786885246
5,Get the current sprint work items,1,Get the current sprint work items,3,75,1,cliff,3.1746031746031744,100.0,122,0.9918032786885246
5,Get the current sprint work items,1,Get the current sprint work items,3,80,1,cliff,3.1746031746031744,100.0,122,0.9918032786885246
5,Get the current sprint work items,1,Get the current sprint work items,3,85,1,cliff,3.1746031746031744,100.0,122,0.9918032786885246
5,Get the current sprint work items,1,Get the current sprint work items,3,90,1,cliff,3.1746031746031744,100.0,122,0.9918032786885246
5,Get the current sprint work items,1,Get the current sprint work items,4,50,100,retention,,49.735449735449734,122,0.180327868852459
5,Get the current sprint work items,1,Get the current sprint work items,4,60,60,retention,,59.78835978835979,122,0.5081967213114754
5,Get the current sprint work items,1,Get the current sprint work items,4,70,27,retention,,69.84126984126983,122,0.7786885245901639
5,Get the current sprint work items,1,Get the current sprint work items,4,75,17,retention,,73.54497354497354,122,0.860655737704918
5,Get the current sprint work items,1,Get the current sprint work items,4,80,13,retention,,78.83597883597884,122,0.8934426229508197
5,Get the current sprint work items,1,Get the current sprint work items,4,85,9,retention,,84.65608465608466,122,0.9262295081967213
5,Get the current sprint work items,1,Get the current sprint work items,4,90,5,retention,,89.94708994708994,122,0.9590163934426229
5,Get the current sprint work items,1,Get the current sprint work items,5,50,100,retention,,49.735449735449734,122,0.180327868852459
5,Get the current sprint work items,1,Get the current sprint work items,5,60,60,retention,,59.78835978835979,122,0.5081967213114754
5,Get the current sprint work items,1,Get the current sprint work items,5,70,27,retention,,69.84126984126983,122,0.7786885245901639
5,Get the current sprint work items,1,Get the current sprint work items,5,75,17,retention,,73.54497354497354,122,0.860655737704918
5,Get the current sprint work items,1,Get the current sprint work items,5,80,13,retention,,78.83597883597884,122,0.8934426229508197
5,Get the current sprint work items,1,Get the current sprint work items,5,85,9,retention,,84.65608465608466,122,0.9262295081967213
5,Get the current sprint work items,1,Get the current sprint work items,5,90,5,retention,,89.94708994708994,122,0.9590163934426229
5,Get the current sprint work items,1,Get the current sprint work items,6,50,100,retention,,49.735449735449734,122,0.180327868852459
5,Get the current sprint work items,1,Get the current sprint work items,6,60,60,retention,,59.78835978835979,122,0.5081967213114754
5,Get the current sprint work items,1,Get the current sprint work items,6,70,27,retention,,69.84126984126983,122,0.7786885245901639
5,Get the current sprint work items,1,Get the current sprint work items,6,75,17,retention,,73.54497354497354,122,0.860655737704918
5,Get the current sprint work items,1,Get the current sprint work items,6,80,13,retention,,78.83597883597884,122,0.8934426229508197
5,Get the current sprint work items,1,Get the current sprint work items,6,85,9,retention,,84.65608465608466,122,0.9262295081967213
5,Get the current sprint work items,1,Get the current sprint work items,6,90,5,retention,,89.94708994708994,122,0.9590163934426229
5,Get the current sprint work items,1,Get the current sprint work items,7,50,100,retention,,49.735449735449734,122,0.180327868852459
5,Get the current sprint work items,1,Get the current sprint work items,7,60,60,retention,,59.78835978835979,122,0.5081967213114754
5,Get the current sprint work items,1,Get the current sprint work items,7,70,27,retention,,69.84126984126983,122,0.7786885245901639
5,Get the current sprint work items,1,Get the current sprint work items,7,75,17,retention,,73.54497354497354,122,0.860655737704918
5,Get the current sprint work items,1,Get the current sprint work items,7,80,13,retention,,78.83597883597884,122,0.8934426229508197
5,Get the current sprint work items,1,Get the current sprint work items,7,85,9,retention,,84.65608465608466,122,0.9262295081967213
5,Get the current sprint work items,1,Get the current sprint work items,7,90,5,retention,,89.94708994708994,122,0.9590163934426229
5,Get the current sprint work items,1,Get the current sprint work items,8,50,100,retention,,49.735449735449734,122,0.180327868852459
5,Get the current sprint work items,1,Get the current sprint work items,8,60,60,retention,,59.78835978835979,122,0.5081967213114754
5,Get the current sprint work items,1,Get the current sprint work items,8,70,27,retention,,69.84126984126983,122,0.7786885245901639
5,Get the current sprint work items,1,Get the current sprint work items,8,75,17,retention,,73.54497354497354,122,0.860655737704918
5,Get the current sprint work items,1,Get the current sprint work items,8,80,13,retention,,78.83597883597884,122,0.8934426229508197
5,Get the current sprint work items,1,Get the current sprint work items,8,85,9,retention,,84.65608465608466,122,0.9262295081967213
5,Get the current sprint work items,1,Get the current sprint work items,8,90,5,retention,,89.94708994708994,122,0.9590163934426229
5,Get the current sprint work items,1,Get the current sprint work items,10,50,100,retention,,49.735449735449734,122,0.180327868852459
5,Get the current sprint work items,1,Get the current sprint work items,10,60,60,retention,,59.78835978835979,122,0.5081967213114754
5,Get the current sprint work items,1,Get the current sprint work items,10,70,27,retention,,69.84126984126983,122,0.7786885245901639
5,Get the current sprint work items,1,Get the current sprint work items,10,75,17,retention,,73.54497354497354,122,0.860655737704918
5,Get the current sprint work items,1,Get the current sprint work items,10,80,13,retention,,78.83597883597884,122,0.8934426229508197
5,Get the current sprint work items,1,Get the current sprint work items,10,85,9,retention,,84.65608465608466,122,0.9262295081967213
